"Site","Building","Floor","Area","Description","Room Number","Room Barcode","Room Type","Cost Centre","Department"
"St. Cross","RUG-Rainsbrook OPD","G","RRB","OT Store Room","RRB00025","RRB00025","Not Defined",,"RUG - RAINS REHAB"
"St. Cross","RUG-Rainsbrook OPD","G","RRB","Physio Wax/Splint Room","RRB00030","RRB00030","Not Defined",,"RUG - RAINS REHAB"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Entrance Lobby","RRB00127","RRB00127","Not Defined",,
"St. Cross","RUG-RAINSBROOK","G","RRB","Lift Lobby","RRB00123","RRB00123","Not Defined",,
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Relatives Room","RRB00204","RRB00204","Not Defined",,
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Day /Staff Room","RRB00202","RRB00202","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Bay 1","RRB00197","RRB00197","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Dermatology dept","RRB00132","RRB00132","Delivery Point",,"RUG - DERMATOLOGY"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Staff WC","RRB00196","RRB00196","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Bay 2","RRB00194","RRB00194","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Bay 3","RRB00192","RRB00192","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Ward Clerk Office","RRB00172","RRB00172","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Treatment/Clean Utility","RRB00173","RRB00173","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Dirty Utility Room","RRB00175","RRB00175","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Male WC","RRB00191","RRB00191","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Side Ward 1","RRB00190","RRB00190","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Side Ward 2","RRB00189","RRB00189","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Side Ward 3","RRB00188","RRB00188","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Side Ward 4","RRB00187","RRB00187","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn WC & Shower Room","RRB00181","RRB00181","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Sisters Office","RRB00186","RRB00186","Delivery Point",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - DISCHARGE LOUNGE"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Treatments Area 2","RRB00157","RRB00157","Not Defined",,"RUG - CCU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Store","RRB00180","RRB00180","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Store","RRB00161","RRB00161","Not Defined",,"RUG - CCU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Hoskyn Bathroom","RRB00176","RRB00176","Not Defined",,"RUG - HOSKYN WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Plant Room","RRB00163","RRB00163","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Renal Dialysis Tech. Room","RRB00166","RRB00166","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Store/Waste Disposal","RRB00167","RRB00167","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Staff WC & Shower Room","RRB00168","RRB00168","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Shower","RRB00158","RRB00158","Not Defined",,"RUG - CCU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Nurses Office","RRB00156","RRB00156","Not Defined",,"RUG - CCU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Side Ward 2","RRB00155","RRB00155","Not Defined",,"RUG - MAU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Side Ward 1","RRB00154","RRB00154","Not Defined",,"RUG - MAU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CCU"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Renal Dialysis Unit","RRB00145","RRB00145","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Patient WC","RRB00150","RRB00150","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Treatment Area 1","RRB00149","RRB00149","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G","RRB","Ash Dialysis Store Room","RRB00147","RRB00147","Not Defined",,"RUG - ASH WARD"
"St. Cross","RUG-OAK WARD","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Dry Store","RRB10058","RRB10058","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Waste Store","RRB10061","RRB10061","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Used Linen Store","RRB10085","RRB10085","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Bay 1 (Haematology)","RRB10064","RRB10064","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak WC Staff","RRB10065","RRB10065","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Bay 2 (Male)","RRB10066","RRB10066","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Bay 3","RRB10068","RRB10068","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward WC","RRB10070","RRB10070","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Side Ward 1","RRB10071","RRB10071","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Side Ward 2","RRB10072","RRB10072","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Side Ward 3","RRB10073","RRB10073","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Side Ward 4","RRB10074","RRB10074","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Sisters Office","RRB10075","RRB10075","Delivery Point",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Store","RRB10079","RRB10079","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Staff Room","RRB10082","RRB10082","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Bathroom","RRB10083","RRB10083","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Dirty Utility","RRB10084","RRB10084","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Treatment / Clean Utility","RRB10086","RRB10086","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward Clerk Office","RRB10087","RRB10087","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-OAK WARD","01","RRB","Oak Ward WC","RRB10088","RRB10088","Not Defined",,"RUG - OAK WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Kitchen","RRB10089","RRB10089","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Patient WC","RRB10091","RRB10091","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Clerk Office","RRB10092","RRB10092","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Clinical Room","RRB10093","RRB10093","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Dirty Utility","RRB10095","RRB10095","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Store Room","RRB10096","RRB10096","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Store Room","RRB10100","RRB10100","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Shower / WC","RRB10101","RRB10101","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Staff Room","RRB10103","RRB10103","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Sisters Office","RRB10104","RRB10104","Delivery Point",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Side Ward 4","RRB10105","RRB10105","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Side Ward 3","RRB10106","RRB10106","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Side Ward 2","RRB10107","RRB10107","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Side Ward 1","RRB10108","RRB10108","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01",,"RRB10111 - Mulberry Ward Patient WC Assisted","NOTinUSE","NO BARCODE","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward  Bay 1","RRB10110","RRB10110","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward  Bay 2","RRB10112","RRB10112","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward WC Staff","RRB10114","RRB10114","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Bay 3","RRB10115","RRB10115","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-NEW MULBERRY WARD","01","RRB","Mulberry Ward Linen","RRB10094","RRB10094","Not Defined",,"RUG - NEW MULBERRY WARD"
"St. Cross","RUG-RAINSBROOK","01","RRB","Foyer","RRB10001","RRB10001","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-RAINSBROOK","01","RRB","First Floor Lift Lobby","RRB10002","RRB10002","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-RAINSBROOK","01","RRB","Switch Room E","RRB10004","RRB10004","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-RAINSBROOK","01","RRB","Switchroom G","RRB10049","RRB10049","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-MAPLE WING","01","RRB","Staff Changing Room","RRB10046","RRB10046","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-MAPLE WING","01","RRB","Office","RRB10045","RRB10045","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Staff room","RRB10041","RRB10041","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Dorm 3","RRB10040","RRB10040","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Linen store","RRB10039","RRB10039","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Dorm 5","RRB10038","RRB10038","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Dorm 4","RRB10037","RRB10037","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Patient W/C","RRB10036","RRB10036","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Side Room 4","RRB10035","RRB10035","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Side Room 3","RRB10034","RRB10034","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Bathroom WC","RRB10033","RRB10033","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Bathroom","RRB10032","RRB10032","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Side room 2","RRB10031","RRB10031","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Side Room 1","RRB10030","RRB10030","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Dorm 1","RRB10027","RRB10027","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Not in use. Refer to RRB10024 A.B.C.D","RRB10024","RRB10024","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Treatment/Clean Utility","RRB10023","RRB10023","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Patient WC","RRB10022","RRB10022","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-HAWTHORN","01","RRB","Hawthorn Staff WC","RRB10021","RRB10021","Not Defined",,"RUG - HAWTHORN"
"St. Cross","RUG-MAPLE WING","01","RRB","Store","RRB10014","RRB10014","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Maple Rehab kitchen","RRB10042","RRB10042","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Cardiac Rehab Gym","RRB10013","RRB10013","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Office","RRB10015","RRB10015","Conference",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Maple Patient WC","RRB10011","RRB10011","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Maple Linen / Clothing Store","RRB10010","RRB10010","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-MAPLE WING","01","RRB","Maple Patient WC","RRB10009","RRB10009","Not Defined",,"RUG - MAPLE WARD"
"St. Cross","RUG-HAWTHORN","01","RRB","MEBS Store","RRB10028","RRB10028","Meeting",,"RUG - HAWTHORN"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Consulting Room 1","RWB10018","RWB10018","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Consulting Room 2","RWB10017","RWB10017","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Clinical Room","RWB10015","RWB10015","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Weighing Room","RWB10016","RWB10016","Not Defined",,"RUG - PAEDS WITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Office","RWB10027","RWB10027","Not Defined",,
"St. Cross","RUG-WITHYBROOK","01","RWB","Physio Store","RWB10029","RWB10029","Not Defined",,
"St. Cross","RUG-WITHYBROOK","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-Catering","01","RWB","CPU Food Services Managers Office","RWB10114","RWB10114","Not Defined",,"RUG - CATERING  W ITHYBROOK"
"St. Cross","RUG-WITHYBROOK","01",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CATERING  W ITHYBROOK"
"St. Cross","RUG-ESTATES OFFICES","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-THEATRES","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - THEATRES"
"St. Cross","RUG-AVON HOUSE","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-OCTAPUS CENTRE","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OCTAPUS CENTRE"
"St. Cross","RUG - A&E","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","xRUG-RAINSBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-OWEN","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OWEN BUILDING"
"St. Cross","RUG-MORTUARY","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"MORTUARY"
"St. Cross","RUG-ENDOSCOPY/WILLOW WARD","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - ENDOSCOPY/WILLOW WARD"
"St. Cross","RUG-REDWOOD","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - REDWOOD HOUSE"
"St. Cross","RUG-X-RAY","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - XRAY"
"St. Cross","RUG-SWIFT HOUSE RETINAL SCREENING","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - RETINAL SCREENING"
"St. Cross","RUG-VIC.SUPPORT SERVICES","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - VICT SUPPORT SERVICES"
"St. Cross","RUG-FACIL STAFF CHANGE","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - FACILITIES STAFF CHANGE"
"St. Cross","RUG-REC HALL","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - RECREATION HALL"
"St. Cross","RUG-OLD HOSKYN WARD","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - OLD HOSKYN WARD"
"St. Cross","RUG-LINDEN UNIT","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - LINDEN UNIT"
"St. Cross","RUG-SWIFT HOUSE","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - DIABETIC"
"St. Cross","RUG-PAT LINE OFFICE","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - PAT LINE"
"St. Cross","RUG-Rainsbrook OPD","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - RAINS OPD"
"St. Cross","RUG-Rainsbrook OPD","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - RAINS REHAB"
"St. Cross","RUG-RAINS ASH. HOSK .CCU. DERM. MAU","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CATERING  W ITHYBROOK"
"St. Cross","RUG-WITHYBROOK","G",,"NotinUse2","NOTinUSE","NO BARCODE","Not Defined",,"RUG - CATERING  W ITHYBROOK"
"St. Cross","RUG-WITHYBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Lobby - Reception","RVE00001","RVE00001","Delivery Point",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Office - Secretaries","RVE00002","RVE00002","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Meeting Room 1","RVE00003","RVE00003","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Meeting Room 2","RVE00004","RVE00004","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Computer /Filing","RVE00005","RVE00005","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Records/Filing","RVE00006","RVE00006","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","BMS Room","RVE00007","RVE00007","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Kitchen","RVE00008","RVE00008","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Snr Estates Manager Office","RVE00009","RVE00009","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Estates Manager Office","RVE00010","RVE00010","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Estates Officers","RVE00011","RVE00011","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Supervisors","RVE00012","RVE00012","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Painters Workshop","RVE00013","RVE00013","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Electricians Workshop","RVE00014","RVE00014","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Mess Room","RVE00015","RVE00015","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Carpenters Workshop","RVE00016","RVE00016","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","WC Female","RVE00017","RVE00017","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","WC Male","RVE00018","RVE00018","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Workshop corridor","RVE00020","RVE00020","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Fitters Workshop","RVE00021","RVE00021","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Corridor","RVE00022","RVE00022","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Paint Store","RVE00023","RVE00023","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Eng/Building Store","RVE00024","RVE00024","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Labourers Store","RVE00025","RVE00025","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Carpenters Workshop","RVE00019","RVE00019","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Waiting Area","RCB00146","RCB00146","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","New Phlebotomy Pateient WC","RCB00156","RCB00156","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Cleaner Room","RCB00157","RCB00157","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG-CLOSED M","G","RCB","Room","RCB00139","RCB00139","Not Defined",,"RUG - CLOSED MULBERRY"
"St. Cross","RUG - A&E","G","RWB","Entrance Lobby (to main waiting room)","RWB00151","RWB00151","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Corridor - Main A&E","RWB00124","RWB00124","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Lobby (at ambulance entrance)","RWB00144","RWB00144","Not Defined",,"RUG - A & E"
"St. Cross","RUG - A&E","G","RWB","Store Room","RWB00155","RWB00155","Not Defined",,"RUG - A & E"
"St. Cross","RUG-WITHYBROOK","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"RCB00003","NOTinUSE","NO BARCODE","Not Defined",,
"St. Cross","RUG-WITHYBROOK","G",,"RCB00084","NOTinUSE","NO BARCODE","Not Defined",,
